POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      78016 bits [Y 36.9882 dB    U 44.5105 dB    V 45.9862 dB] [ET    33 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      78304 bits [Y 37.0141 dB    U 44.5256 dB    V 45.8512 dB] [ET    35 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      78384 bits [Y 36.9712 dB    U 44.4346 dB    V 45.8921 dB] [ET    34 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79280 bits [Y 37.0346 dB    U 44.6449 dB    V 45.9907 dB] [ET    34 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      78320 bits [Y 36.9604 dB    U 44.5291 dB    V 45.7796 dB] [ET    35 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      78816 bits [Y 36.9724 dB    U 44.4648 dB    V 45.9066 dB] [ET    36 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79616 bits [Y 37.0252 dB    U 44.4353 dB    V 45.6132 dB] [ET    35 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      78976 bits [Y 36.9752 dB    U 44.4266 dB    V 45.7762 dB] [ET    34 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79552 bits [Y 36.9915 dB    U 44.6759 dB    V 45.7640 dB] [ET    35 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  4824.5037    36.9352  44.3270  45.6267  38.3639  

 finished @ Mon Sep 11 18:36:56 2023
 Total Time:     2831.100 sec. [user]     2831.101 sec. [elapsed]
