POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65792 bits [Y 32.3943 dB    U 39.0640 dB    V 40.7261 dB] [ET    39 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65856 bits [Y 32.4089 dB    U 38.8758 dB    V 40.8098 dB] [ET    39 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65768 bits [Y 32.3863 dB    U 38.9890 dB    V 40.6721 dB] [ET    40 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65488 bits [Y 32.4011 dB    U 38.8484 dB    V 40.9251 dB] [ET    39 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65824 bits [Y 32.4221 dB    U 38.8314 dB    V 40.8753 dB] [ET    40 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  3947.5911    32.4034  38.8696  40.8208  33.7804  

 finished @ Mon Sep 11 10:28:07 2023
 Total Time:     3216.573 sec. [user]     3216.574 sec. [elapsed]
